Game_title,Game_ID,Min_players,Max_players,Playing_time,Year_published,Item_type,Publisher,Language,Rent_price,Price,Tournament_game
Odjechane Jednorożce: Bez cenzury,287952,2,8,45,2020,standalone,Rebel Sp. z o.o.,Polish,9,90,0.0
Odmęty grozy,340466,3,6,240,2021,standalone,Fantasy Flight Games; Rebel Sp. z o.o.,Polish,30,300,0.0
Odyseja,201557,1,6,30,2019,standalone,Lupo Art Games,Polish,10,100,0.0
Oriflamme,287084,3,5,30,2021,standalone,Galakta; Studio H,Polish,8,80,0.0
Osadnicy z Catanu,13,3,4,120,2011,standalone,Galakta,Polish,13,130,1.0
Osadnicy: Królestwa Północy,270844,1,4,90,2019,standalone,Portal Games,Polish,17,170,0.0
Osadnicy: Narodziny Imperium,154203,1,4,90,2014,standalone,Portal Games,Polish,14,140,0.0
Ostium,310641,1,3,40,2021,standalone,Lacerta,Polish,11,110,0.0
Owce na manowce,242523,2,4,20,2018,standalone,Trefl Joker Line,Polish,8,80,0.0
Paladins of the West Kingdom: City of Crowns,317980,1,4,120,2021,expansion,,,15,150,0.0
Paladyni Zachodniego Królestwa,266810,1,4,120,2019,standalone,Portal Games,Polish,19,190,0.0
Paleo,300531,1,4,60,2021,standalone,Lucky Duck Games,Polish,22,220,0.0
Pandemic,30549,2,4,45,2018,standalone,Rebel Sp. z o.o.; Z-Man Games,Polish,17,170,0.0
Pandemic: Czas Cthulhu,192153,2,4,40,2016,standalone,Lacerta; Z-Man Games,Polish,18,180,0.0
Pandemic: Gorąca Strefa Europa,329670,2,4,30,2021,standalone,Rebel Sp. z o.o.; Z-Man Games,Polish,8,80,0.0
Paperback,141572,2,5,45,2018,standalone,Baldar,Polish,11,110,0.0
Paranormalni Detektywi,280136,2,6,50,2020,standalone,Lucky Duck Games,Polish,10,100,0.0
Paris,282954,2,4,90,2020,standalone,Czacha Games,Polish,18,180,0.0
Park Niedźwiedzi,219513,2,4,45,2017,standalone,Lacerta,Polish,12,120,0.0
Park Sawanna,339484,1,4,40,2022,standalone,Deep Print Games; Portal Games,Polish,18,180,0.0
Park Smoków,301018,2,5,30,2021,standalone,Nasza Księgarnia,Polish,9,90,0.0
Party Time,43530,4,24,30,0,standalone,Albi,Polish,10,100,0.0
Paryż: Miasto Świateł,276498,2,2,30,2020,standalone,Devir; Lacerta,Polish,9,90,0.0
Patchwork,163412,2,2,30,2015,standalone,Lacerta; Lookout Games,Polish,9,90,0.0
Patchwork Doodle,264239,1,6,20,2019,standalone,Lacerta,Polish,8,80,0.0
Pax Pamir: Second Edition,256960,1,5,120,2019,standalone,,,37,370,0.0
Pechowa krowa,261262,3,6,25,2020,standalone,Muduko,Polish,8,80,0.0
Pędzące Ślimaki,194194,2,5,20,2016,standalone,Egmont Polska,Polish,8,80,0.0
Pharaon,282414,1,5,75,2020,standalone,Bard Centrum Gier; Blackrock Games; Catch Up Games; MINDOK,Czech; Polish,15,150,0.0
Pięć Klanów: Dżiny Naqali,157354,2,4,80,2016,standalone,Rebel Sp. z o.o.,Polish,10,100,0.0
Pięć Klanów: Kaprysy Sułtana,226828,2,5,90,2021,expansion,Rebel Sp. z o.o.,Polish,12,120,0.0
Pięć Klanów: Rzemieślnicy Naqali,176677,2,4,80,2021,expansion,Rebel Sp. z o.o.,Polish,10,100,0.0
Planeta,252929,2,4,45,2018,standalone,Rebel Sp. z o.o.,Polish,12,120,0.0
Pod wrogim niebem,306735,1,1,40,2021,standalone,Czech Games Edition; Rebel Sp. z o.o.,Polish,13,130,0.0
Podaj dalej!,46213,4,8,30,2016,standalone,Rebel Sp. z o.o.,Polish,12,120,0.0
Podaj hasło,226256,2,10,20,2018,standalone,Granna,Polish,8,80,0.0
Podwodne Miasta,247763,1,4,150,2019,standalone,Portal Games; Delicious Games,Polish,22,220,0.0
Pojedynek Superbohaterów DC,125678,2,5,45,2019,standalone,Egmont Polska,Polish,13,130,0.0
Pojedynek Superbohaterów DC: Batman Ninja,260844,2,5,60,2021,expansion,Cryptozoic Entertainment,Polish,8,80,0.0
Pola Zieleni,200954,2,4,45,2019,standalone,Artipia Games; Czacha Games,Polish,17,170,0.0
Pola Zieleni: Dożynki,245065,1,5,45,2019,expansion,Artipia Games; Czacha Games,Polish,10,100,0.0
Port Royal,156009,2,5,50,2020,standalone,Pegasus Spiele,English; German,8,80,0.0
Potwory do szafy,43578,1,6,10,2013,standalone,Granna; Le Scorpion Masqué,Polish,8,80,0.0
Pracownia Snów,231038,1,4,90,2020,standalone,Lacerta,Polish,23,230,0.0
Praga Caput Regni,308765,1,4,150,2021,standalone,Delicious Games; Portal Games,Polish,27,270,0.0
Prêt-à-Porter,87890,2,4,90,2019,standalone,Portal Games,Polish,23,230,0.0
Project L,260180,1,4,40,2021,standalone,Boardcubator; Rebel Sp. z o.o.,Czech; Hungarian; Polish; Slovak,14,140,0.0
Projekt: miasteczko,207370,1,4,60,2018,standalone,Trefl Joker Line,Polish,8,80,0.0
Przechlapane!,1383,2,6,10,2019,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
PtaKostki,245476,2,5,20,2018,standalone,hobbity.eu,Polish,8,80,0.0
Puerto Rico,108687,2,5,150,2016,standalone,Lacerta,Polish,19,190,0.0
Punto,259069,2,4,20,2019,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
The Quacks of Quedlinburg,244521,2,4,45,2018,standalone,,,16,160,0.0
Queendomino,232043,2,4,25,2019,standalone,FoxGames,Polish,12,120,0.0
Qwirkle,25669,2,4,45,2011,standalone,Compaya.hu: Gamer Café Kft.; Corfix; G3; Schmidt Spiele,Czech; Hungarian; Polish; Romanian; Slovak,12,120,0.0
Ragusa,253635,1,5,80,2021,standalone,Braincrack Games; Fishbone Games,Polish,18,180,0.0
